univ_id,event_type,instate,outofstate,total
100751,pub_hs,173,2436,2609
100751,priv_hs,56,1008,1064
100751,cc,124,88,212
100751,pub_4yr,8,79,87
100751,pse,0,70,70
100751,other,40,422,462
100751,total,401,4103,4504
106397,pub_hs,210,539,749
106397,priv_hs,22,216,238
106397,cc,16,23,39
106397,pub_4yr,5,16,21
106397,pse,1,7,8
106397,other,20,55,75
106397,total,274,856,1130
110635,pub_hs,365,233,598
110635,priv_hs,49,173,222
110635,cc,161,2,163
110635,pub_4yr,20,3,23
110635,pse,6,2,8
110635,other,79,90,169
110635,total,680,503,1183
110653,pub_hs,358,84,442
110653,priv_hs,26,44,70
110653,cc,322,4,326
110653,pub_4yr,27,11,38
110653,pse,3,2,5
110653,other,65,38,103
110653,total,801,183,984
110671,pub_hs,512,23,535
110671,priv_hs,63,41,104
110671,cc,399,4,403
110671,pub_4yr,10,6,16
110671,pse,6,1,7
110671,other,47,8,55
110671,total,1037,83,1120
110680,pub_hs,645,152,797
110680,priv_hs,89,121,210
110680,cc,248,8,256
110680,pub_4yr,30,5,35
110680,pse,3,1,4
110680,other,53,30,83
110680,total,1068,317,1385
115409,pub_hs,62,158,220
115409,priv_hs,29,105,134
115409,cc,0,0,0
115409,pub_4yr,0,3,3
115409,pse,0,2,2
115409,other,7,35,42
115409,total,98,303,401
120254,pub_hs,90,111,201
120254,priv_hs,61,162,223
120254,cc,8,0,8
120254,pub_4yr,1,1,2
120254,pse,2,2,4
120254,other,12,40,52
120254,total,174,316,490
123165,pub_hs,63,110,173
123165,priv_hs,35,85,120
123165,cc,1,0,1
123165,pub_4yr,0,0,0
123165,pse,0,1,1
123165,other,13,32,45
123165,total,112,228,340
126614,pub_hs,264,631,895
126614,priv_hs,24,384,408
126614,cc,154,18,172
126614,pub_4yr,14,11,25
126614,pse,2,14,16
126614,other,22,72,94
126614,total,480,1130,1610
126678,pub_hs,96,217,313
126678,priv_hs,17,332,349
126678,cc,1,0,1
126678,pub_4yr,4,3,7
126678,pse,2,7,9
126678,other,10,122,132
126678,total,130,681,811
127060,pub_hs,173,260,433
127060,priv_hs,19,287,306
127060,cc,10,4,14
127060,pub_4yr,3,3,6
127060,pse,4,10,14
127060,other,14,30,44
127060,total,223,594,817
128902,pub_hs,34,194,228
128902,priv_hs,29,286,315
128902,cc,0,1,1
128902,pub_4yr,0,0,0
128902,pse,0,2,2
128902,other,1,69,70
128902,total,64,552,616
139658,pub_hs,50,267,317
139658,priv_hs,17,277,294
139658,cc,1,0,1
139658,pub_4yr,0,0,0
139658,pse,0,2,2
139658,other,4,72,76
139658,total,72,618,690
139959,pub_hs,209,306,515
139959,priv_hs,70,244,314
139959,cc,1,0,1
139959,pub_4yr,6,7,13
139959,pse,0,2,2
139959,other,19,58,77
139959,total,305,617,922
147767,pub_hs,143,507,650
147767,priv_hs,48,367,415
147767,cc,0,0,0
147767,pub_4yr,0,2,2
147767,pse,0,5,5
147767,other,3,77,80
147767,total,194,958,1152
152080,pub_hs,38,392,430
152080,priv_hs,26,724,750
152080,cc,0,0,0
152080,pub_4yr,0,0,0
152080,pse,0,1,1
152080,other,0,50,50
152080,total,64,1167,1231
155317,pub_hs,312,665,977
155317,priv_hs,22,221,243
155317,cc,28,33,61
155317,pub_4yr,3,20,23
155317,pse,1,20,21
155317,other,58,104,162
155317,total,424,1063,1487
160755,pub_hs,49,467,516
160755,priv_hs,41,434,475
160755,cc,0,1,1
160755,pub_4yr,4,4,8
160755,pse,0,6,6
160755,other,19,104,123
160755,total,113,1016,1129
164924,pub_hs,33,188,221
164924,priv_hs,32,330,362
164924,cc,0,0,0
164924,pub_4yr,0,1,1
164924,pse,3,5,8
164924,other,0,15,15
164924,total,68,539,607
166629,pub_hs,248,523,771
166629,priv_hs,71,247,318
166629,cc,36,10,46
166629,pub_4yr,1,5,6
166629,pse,5,4,9
166629,other,11,31,42
166629,total,372,820,1192
167835,pub_hs,47,365,412
167835,priv_hs,18,176,194
167835,cc,22,30,52
167835,pub_4yr,0,8,8
167835,pse,4,14,18
167835,other,11,39,50
167835,total,102,632,734
168148,pub_hs,40,435,475
168148,priv_hs,17,315,332
168148,cc,2,2,4
168148,pub_4yr,0,1,1
168148,pse,0,5,5
168148,other,7,49,56
168148,total,66,807,873
168218,pub_hs,23,241,264
168218,priv_hs,15,145,160
168218,cc,5,3,8
168218,pub_4yr,0,6,6
168218,pse,7,17,24
168218,other,4,68,72
168218,total,54,480,534
168342,pub_hs,16,301,317
168342,priv_hs,15,204,219
168342,cc,3,3,6
168342,pub_4yr,0,2,2
168342,pse,5,7,12
168342,other,5,51,56
168342,total,44,568,612
173902,pub_hs,32,289,321
173902,priv_hs,11,219,230
173902,cc,1,0,1
173902,pub_4yr,0,2,2
173902,pse,2,9,11
173902,other,1,45,46
173902,total,47,564,611
181464,pub_hs,464,692,1156
181464,priv_hs,60,109,169
181464,cc,20,26,46
181464,pub_4yr,5,17,22
181464,pse,0,18,18
181464,other,21,64,85
181464,total,570,926,1496
186380,pub_hs,490,582,1072
186380,priv_hs,77,251,328
186380,cc,89,26,115
186380,pub_4yr,11,18,29
186380,pse,5,11,16
186380,other,21,108,129
186380,total,693,996,1689
186867,pub_hs,131,183,314
186867,priv_hs,44,144,188
186867,cc,3,2,5
186867,pub_4yr,2,4,6
186867,pse,4,1,5
186867,other,6,47,53
186867,total,190,381,571
196097,pub_hs,335,510,845
196097,priv_hs,46,109,155
196097,cc,33,9,42
196097,pub_4yr,7,8,15
196097,pse,1,7,8
196097,other,18,30,48
196097,total,440,673,1113
199193,pub_hs,162,75,237
199193,priv_hs,3,20,23
199193,cc,55,3,58
199193,pub_4yr,2,2,4
199193,pse,4,1,5
199193,other,26,26,52
199193,total,252,127,379
201645,pub_hs,33,206,239
201645,priv_hs,17,224,241
201645,cc,0,0,0
201645,pub_4yr,0,0,0
201645,pse,2,0,2
201645,other,0,19,19
201645,total,52,449,501
201885,pub_hs,426,516,942
201885,priv_hs,80,220,300
201885,cc,22,31,53
201885,pub_4yr,12,21,33
201885,pse,10,15,25
201885,other,23,53,76
201885,total,573,856,1429
204501,pub_hs,62,452,514
204501,priv_hs,25,363,388
204501,cc,1,1,2
204501,pub_4yr,0,2,2
204501,pse,2,17,19
204501,other,7,63,70
204501,total,97,898,995
215293,pub_hs,227,586,813
215293,priv_hs,54,216,270
215293,cc,37,31,68
215293,pub_4yr,5,16,21
215293,pse,10,17,27
215293,other,13,74,87
215293,total,346,940,1286
216287,pub_hs,58,400,458
216287,priv_hs,16,227,243
216287,cc,3,6,9
216287,pub_4yr,1,8,9
216287,pse,0,30,30
216287,other,0,25,25
216287,total,78,696,774
216597,pub_hs,56,405,461
216597,priv_hs,47,611,658
216597,cc,4,11,15
216597,pub_4yr,0,5,5
216597,pse,2,20,22
216597,other,3,60,63
216597,total,112,1112,1224
218663,pub_hs,335,903,1238
218663,priv_hs,38,466,504
218663,cc,20,25,45
218663,pub_4yr,9,24,33
218663,pse,3,25,28
218663,other,39,324,363
218663,total,444,1767,2211
221519,pub_hs,50,162,212
221519,priv_hs,33,440,473
221519,cc,3,0,3
221519,pub_4yr,1,2,3
221519,pse,4,10,14
221519,other,20,111,131
221519,total,111,725,836
223232,pub_hs,324,274,598
223232,priv_hs,124,175,299
223232,cc,18,4,22
223232,pub_4yr,5,9,14
223232,pse,3,4,7
223232,other,102,66,168
223232,total,576,532,1108
228246,pub_hs,164,298,462
228246,priv_hs,90,519,609
228246,cc,12,2,14
228246,pub_4yr,1,3,4
228246,pse,5,4,9
228246,other,43,65,108
228246,total,315,891,1206
228875,pub_hs,128,400,528
228875,priv_hs,64,466,530
228875,cc,11,10,21
228875,pub_4yr,8,9,17
228875,pse,3,11,14
228875,other,46,96,142
228875,total,260,992,1252
230959,pub_hs,13,375,388
230959,priv_hs,6,307,313
230959,cc,0,0,0
230959,pub_4yr,2,3,5
230959,pse,1,6,7
230959,other,1,22,23
230959,total,23,713,736
