ncessch,name,address,address_secondary,city,state_code,zip_code,school_type,offered_09,total_09,offered_10,total_10,offered_11,total_11,offered_12,total_12,total_students,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,pct_white,pct_black,pct_hispanic,pct_asian,pct_amerindian,pct_nativehawaii,pct_tworaces,is_religious,religious_orientation,accelerated_christian_edu,amer_assoc_christian_sch,assoc_christian_sch_intl,oral_roberts,total_male,pct_to_4yr,region,community_type,locale_code,latitude,longitude,is_christian,is_conservative,religion_5,religion_4,religion,year,overall_niche_letter_grade,rank_within_category
01608811,KINGWOOD CHRISTIAN SCHOOL,1351 ROYALTY DR, ,ALABASTER,AL,35007,1,1,32,1,22,1,33,1,30,327,279,24,11,10,0,3,0,85.321100917,7.3394495413,3.3639143731,3.0581039755,0,0.9174311927,0,1,4,0,0,0,0,173,94,3,2,21,33.263732,-86.823408,1,0,other_christian,other_religion,christian,1718,NA,NA
A1792017,VALLEY CHRISTIAN HIGH SCHOOL,100 SKYWAY DR, ,SAN JOSE,CA,95111,1,1,404,1,410,1,409,1,394,2753,1852,271,338,292,0,0,0,67.272066836,9.8438067563,12.277515438,10.60661097,0,0,0,1,8,0,0,1,0,1508,99,4,1,11,37.275918,-121.82691,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
BB180107,VALLEY CHRISTIAN HIGH SCHOOL,17700 DUMONT AVE, ,CERRITOS,CA,90703,1,1,123,1,116,1,118,1,150,507,399,23,45,17,4,4,15,78.698224852,4.5364891519,8.875739645,3.3530571992,0.7889546351,0.7889546351,2.9585798817,1,29,0,0,1,0,244,80,4,2,21,33.870742,-118.103709,0,1,conservative_christian,conservative_christian,christian,1718,NA,NA
BB170011,BRADSHAW CHRISTIAN HIGH SCHOOL,9555 CALVINE RD, ,SACRAMENTO,CA,95829,1,1,80,1,102,1,89,1,98,1000,144,11,835,7,3,0,0,14.4,1.1,83.5,0.7,0.3,0,0,1,8,0,0,0,0,521,92,4,2,21,38.45478,-121.341021,1,0,other_christian,other_religion,christian,1718,NA,NA
A9700305,CALVARY MURRIETA CHRISTIAN SCHOOLS,24225 MONROE AVE,24225 MONROE AVE,MURRIETA,CA,92562,1,1,44,1,23,1,29,1,38,489,272,23,119,58,9,8,0,55.623721881,4.7034764826,24.335378323,11.860940695,1.8404907975,1.63599182,0,1,8,0,0,1,0,241,72,4,2,21,33.57154,-117.212901,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
01608968,CONVENT & STUART HALL,2222 BROADWAY ST, ,SAN FRANCISCO,CA,94115,1,1,118,1,105,1,114,1,104,1185,756,28,107,114,3,1,176,63.797468354,2.3628691983,9.029535865,9.6202531646,0.253164557,0.0843881857,14.852320675,1,1,0,0,0,0,580,NA,4,1,11,37.79487,-122.434001,1,0,catholic,catholic,catholic,1718,NA,NA
00075575,CORNELIA CONNELLY SCHOOL,2323 W BROADWAY, ,ANAHEIM,CA,92804,1,1,38,1,30,1,28,1,35,131,31,0,28,49,0,5,18,23.664122137,0,21.374045802,37.404580153,0,3.8167938931,13.740458015,1,1,0,0,0,0,0,82,4,1,11,33.82977,-117.964051,1,0,catholic,catholic,catholic,1718,NA,NA
A0101087,INTERNATIONAL SCHOOL OF LOS ANGELES-BURBANK,1105 W RIVERSIDE DR, ,BURBANK,CA,91506,3,1,49,1,33,1,45,1,34,330,247,6,34,13,0,0,30,74.848484848,1.8181818182,10.303030303,3.9393939394,0,0,9.0909090909,0,-1,0,0,0,0,163,95,4,1,12,34.15964,-118.313301,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00072519,"MERCY HIGH SCHOOL, SAN FRANCISCO",3250 19TH AVE, ,SAN FRANCISCO,CA,94132,1,1,78,1,75,1,88,1,91,332,60,19,108,87,2,7,49,18.072289157,5.7228915663,32.530120482,26.204819277,0.6024096386,2.1084337349,14.759036145,1,1,0,0,0,0,0,78,4,1,11,37.72946,-122.474531,1,0,catholic,catholic,catholic,1718,NA,NA
A1790096,THE NUEVA SCHOOL,131 E 28TH AVE, ,SAN MATEO,CA,94403,3,1,99,1,91,1,76,1,79,836,386,4,19,223,0,0,204,46.172248804,0.4784688995,2.2727272727,26.674641148,0,0,24.401913876,0,-1,0,0,0,0,422,98,4,2,21,37.543233,-122.300109,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1700577,WESTERN CHRISTIAN HIGH SCHOOL,100 W 9TH ST, ,UPLAND,CA,91786,1,1,92,1,117,1,108,1,82,399,291,8,10,48,3,2,37,72.932330827,2.0050125313,2.5062656642,12.030075188,0.7518796992,0.5012531328,9.2731829574,1,8,0,0,1,0,196,90,4,2,21,34.095425,-117.652986,1,1,conservative_christian,conservative_christian,christian,1718,NA,NA
00231923,TRINITY CATHOLIC HIGH SCHOOL,926 NEWFIELD AVE, ,STAMFORD,CT,06905,1,1,98,1,96,1,133,1,102,429,272,35,53,49,2,0,18,63.403263403,8.1585081585,12.354312354,11.421911422,0.4662004662,0,4.1958041958,1,1,0,0,0,0,232,82,1,1,12,41.091836,-73.534264,1,0,catholic,catholic,catholic,1718,NA,NA
A9101623,KINGSBURY DAY SCHOOL,5000 14TH ST NW, ,WASHINGTON,DC,20011,4,1,6,1,10,1,11,1,22,79,19,53,3,0,0,0,4,24.050632911,67.088607595,3.7974683544,0,0,0,5.0632911392,0,-1,0,0,0,0,63,70,3,1,11,38.95096,-77.034211,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1592015,CARROLLTON SCHOOL OF THE SACRED HEART,3747 MAIN HWY, ,COCONUT GROVE,FL,33133,1,1,82,1,85,1,75,1,83,805,272,11,500,6,0,0,16,33.788819876,1.3664596273,62.111801242,0.7453416149,0,0,1.9875776398,1,1,0,0,0,0,0,100,3,1,11,25.71974,-80.246631,1,0,catholic,catholic,catholic,1718,NA,NA
A1501048,OXBRIDGE ACADEMY OF THE PALM BEACHES,3151 N MILITARY TRL, ,WEST PALM BEACH,FL,33409,3,1,121,1,139,1,144,1,132,536,392,58,46,8,0,0,32,73.134328358,10.820895522,8.5820895522,1.4925373134,0,0,5.9701492537,0,-1,0,0,0,0,271,99,3,2,21,26.7236,-80.112011,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1100756,THE PINE SCHOOL,12350 SE FEDERAL HWY, ,HOBE SOUND,FL,33455,1,1,41,1,33,1,39,1,32,354,225,5,23,21,10,14,56,63.559322034,1.4124293785,6.4971751412,5.9322033898,2.8248587571,3.9548022599,15.81920904,0,-1,0,0,0,0,204,100,3,2,21,27.050951,-80.128714,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
A1501442,HOLY SPIRIT PREPARTORY SCHOOL,4449 NORTHSIDE DR NW, ,ATLANTA,GA,30327,1,1,43,1,43,1,43,1,43,575,364,50,93,12,1,1,54,63.304347826,8.6956521739,16.173913043,2.0869565217,0.1739130435,0.1739130435,9.3913043478,1,1,0,0,0,0,345,100,3,1,11,33.87713,-84.409641,1,0,catholic,catholic,catholic,1718,NA,NA
BB160891,THE NEW SCHOOL,655 MEMORIAL DR SE,1015 EDGEWOOD AVE NE,ATLANTA,GA,30312,1,1,19,1,22,1,21,1,14,76,54,13,4,2,0,0,3,71.052631579,17.105263158,5.2631578947,2.6315789474,0,0,3.9473684211,0,-1,0,0,0,0,34,100,3,1,11,33.756514,-84.354463,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00326361,ST FRANCIS SCHOOL,2707 PAMOA RD, ,HONOLULU,HI,96822,3,1,60,1,55,1,72,1,67,451,19,0,16,183,1,172,60,4.2128603104,0,3.5476718404,40.576496674,0.22172949,38.137472284,13.303769401,1,1,0,0,0,0,451,99,4,1,11,21.30276,-157.812511,1,0,catholic,catholic,catholic,1718,NA,NA
BB180969,SOUTHWEST CHICAGO CHRISTIAN SCHOOLS,12001 S OAK PARK AVE, ,PALOS HEIGHTS,IL,60463,1,1,83,1,80,1,89,1,89,813,595,110,55,20,0,0,33,73.185731857,13.530135301,6.7650676507,2.4600246002,0,0,4.0590405904,1,7,0,0,0,0,393,90,2,2,21,41.673515,-87.787039,1,0,other_christian,other_religion,christian,1718,NA,NA
A1501543,BEACON ACADEMY,1574 SHERMAN AVE, ,EVANSTON,IL,60201,2,1,47,1,48,1,37,1,43,175,138,13,13,8,0,2,1,78.857142857,7.4285714286,7.4285714286,4.5714285714,0,1.1428571429,0.5714285714,0,-1,0,0,0,0,86,100,2,1,13,42.046208,-87.681905,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00490128,ST JOHN'S MILITARY SCHOOL,PO BOX 5020,110 W OTIS AVE,SALINA,KS,67402,1,1,28,1,16,1,30,1,23,125,91,17,8,7,0,1,1,72.8,13.6,6.4,5.6,0,0.8,0.8,1,14,0,0,0,0,125,0,2,3,33,38.86242,-97.610121,1,0,other_christian,other_religion,christian,1718,NA,NA
A1701864,DE LA SALLE HIGH SCHOOL,5300 SAINT CHARLES AVE, ,NEW ORLEANS,LA,70115,1,1,132,1,115,1,122,1,130,582,332,149,70,13,1,1,16,57.04467354,25.60137457,12.027491409,2.2336769759,0.1718213058,0.1718213058,2.7491408935,1,1,0,0,0,0,342,96,3,1,11,29.92712,-90.112111,1,0,catholic,catholic,catholic,1718,NA,NA
00563198,THE MAINE GIRLS ACADEMY,631 STEVENS AVE, ,PORTLAND,ME,04103,1,1,17,1,20,1,30,1,24,91,66,12,4,1,1,0,7,72.527472527,13.186813187,4.3956043956,1.0989010989,1.0989010989,0,7.6923076923,0,-1,0,0,0,0,0,100,1,1,13,43.67987,-70.293541,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
00602209,POPE FRANCIS HIGH SCHOOL,134 SPRINGFIELD ST, ,CHICOPEE,MA,01013,1,1,76,1,71,1,99,1,85,331,219,22,30,39,1,1,19,66.163141994,6.6465256798,9.0634441088,11.782477341,0.3021148036,0.3021148036,5.7401812689,1,1,0,0,0,0,180,90,1,2,21,42.145872,-72.604592,1,0,catholic,catholic,catholic,1718,NA,NA
00601715,COYLE & CASSIDY HIGH SCHOOL & MIDDLE SCHOOL,2 HAMILTON ST, ,TAUNTON,MA,02780,1,1,55,1,54,1,61,1,77,375,330,27,6,10,0,0,2,88,7.2,1.6,2.6666666667,0,0,0.5333333333,1,1,0,0,0,0,206,98,1,2,21,41.909282,-71.095027,1,0,catholic,catholic,catholic,1718,NA,NA
00599679,MARIAN HIGH SCHOOL,273 UNION AVE,273 UNION AVE,FRAMINGHAM,MA,01702,1,1,43,1,56,1,75,1,53,227,104,17,31,71,0,0,4,45.814977974,7.4889867841,13.656387665,31.27753304,0,0,1.7621145374,1,1,0,0,0,0,102,88,1,1,13,42.28634,-71.421621,1,0,catholic,catholic,catholic,1718,NA,NA
00601136,POPE JOHN XXIII HIGH SCHOOL,888 BROADWAY, ,EVERETT,MA,02149,1,1,62,1,66,1,93,1,113,352,112,59,49,132,0,0,0,31.818181818,16.761363636,13.920454545,37.5,0,0,0,1,1,0,0,0,0,170,95,1,2,21,42.4203,-71.044941,1,0,catholic,catholic,catholic,1718,NA,NA
00600686,PRESENTATION OF MARY ACADEMY,209 LAWRENCE ST, ,METHUEN,MA,01844,1,1,39,1,47,1,69,1,55,210,91,5,42,47,0,0,25,43.333333333,2.380952381,20,22.380952381,0,0,11.904761905,1,1,0,0,0,0,84,80,1,2,21,42.72718,-71.179331,1,0,catholic,catholic,catholic,1718,NA,NA
00599464,SACRED HEART SCHOOL,399 BISHOPS HWY, ,KINGSTON,MA,02364,1,1,66,1,37,1,42,1,57,526,450,9,9,34,0,2,22,85.551330798,1.711026616,1.711026616,6.463878327,0,0.3802281369,4.1825095057,1,1,0,0,0,0,268,96,1,4,41,41.94789,-70.740881,1,0,catholic,catholic,catholic,1718,NA,NA
A1702132,MINNEHAHA ACADEMY - UPPER SCHOOL,3100 W RIVER PKWY, ,MINNEAPOLIS,MN,55406,1,1,97,1,97,1,81,1,81,356,266,30,22,12,1,0,25,74.719101124,8.4269662921,6.1797752809,3.3707865169,0.2808988764,0,7.0224719101,1,29,0,0,0,0,213,98,2,1,11,44.94587,-93.205671,0,0,other_religion,other_religion,other,1718,NA,NA
00809804,ST MARYS SCHOOLS,300 N 4TH ST, ,O'NEILL,NE,68763,1,1,15,1,15,1,15,1,15,195,193,0,2,0,0,0,0,98.974358974,0,1.0256410256,0,0,0,0,1,1,0,0,0,0,125,85,2,3,33,42.460768,-98.649049,1,0,catholic,catholic,catholic,1718,NA,NA
A1101473,CHRIST THE KING PREPATORY SCHOOL,239 WOODSIDE AVE, ,NEWARK,NJ,07104,1,1,72,1,73,1,67,1,64,276,3,139,105,3,2,2,22,1.0869565217,50.362318841,38.043478261,1.0869565217,0.7246376812,0.7246376812,7.9710144928,1,1,0,0,0,0,141,98,1,1,11,40.774342,-74.164616,1,0,catholic,catholic,catholic,1718,NA,NA
00864708,ST JOSEPH HIGH SCHOOL,328 VINE ST, ,HAMMONTON,NJ,08037,1,1,64,1,56,1,83,1,79,282,214,44,15,5,1,0,3,75.886524823,15.602836879,5.3191489362,1.7730496454,0.3546099291,0,1.0638297872,1,1,0,0,0,0,166,85,1,3,31,39.636693,-74.800285,1,0,catholic,catholic,catholic,1718,NA,NA
00861456,ST MARY OF THE ASSUMPTION HS,247 S BROAD ST, ,ELIZABETH,NJ,07202,1,1,36,1,37,1,51,1,60,184,12,93,2,39,1,1,36,6.5217391304,50.543478261,1.0869565217,21.195652174,0.5434782609,0.5434782609,19.565217391,1,1,0,0,0,0,108,100,1,2,21,40.658067,-74.215783,1,0,catholic,catholic,catholic,1718,NA,NA
A1702419,FUSION ACADEMY   ENGLEWOOD,10 STEARLING BLVD STE 201,95 NJ 17 N STE 107,ENGLEWOOD,NJ,07631,6,1,5,1,8,1,6,1,10,40,31,1,2,2,0,0,4,77.5,2.5,5,5,0,0,10,0,-1,0,0,0,0,23,50,1,2,21,40.927241,-74.070954,0,0,nonsectarian,nonsectarian,nonsectarian,1718,NA,NA
