old_id,new_id
00091848,A1700577
00259574,A1100756
00260579,A9700925
00602253,00602209
00640073,00640084
00704255,A1702132
01056278,01056289
01060783,01060794
01064391,A1702914
01196511,01197286
01605344,A1592015
01607942,A1503112
01657789,A1702599
02059471,A1703348
A0100110,00001751
A0109380,BB162777
A0110171,BB141099
A1102336,01463385
A1300475,BB180107
A1301847,00809804
A9102280,A0700800
A9701245,A1501442
A9703185,A1703313
BB130201,BB180969
BB141134,A1703828
X0537339,A1701864
X0935282,A1702694
Y1608436,BB170357